Person1,Person2,type
2444,477,acquaintance
1176,2978,acquaintance
2540,755,acquaintance
1572,611,friend
1066,2707,friend
1436,1591,friend
1521,391,friend
693,612,acquaintance
1299,868,acquaintance
1315,2781,acquaintance
449,572,acquaintance
2938,2331,friend
504,1520,acquaintance
2316,1723,friend
852,1209,acquaintance
1470,399,acquaintance
230,1966,acquaintance
2373,1064,acquaintance
1531,853,friend
2806,1052,friend
853,1563,acquaintance
821,1948,acquaintance
2464,1393,acquaintance
2339,2268,acquaintance
2538,759,acquaintance
433,830,acquaintance
1099,1232,acquaintance
2229,1683,acquaintance
1381,1751,acquaintance
854,1185,acquaintance
736,1693,acquaintance
245,386,acquaintance
1172,356,friend
1277,1263,friend
2953,460,acquaintance
0,200,friend
2275,2282,acquaintance
77,2617,friend
1718,1949,acquaintance
1459,2312,acquaintance
1145,2428,acquaintance
1263,2053,acquaintance
13,2120,acquaintance
1607,62,acquaintance
748,1053,friend
1645,228,acquaintance
1098,1364,acquaintance
2618,1481,acquaintance
2326,2446,friend
1740,540,acquaintance
2472,2105,friend
2311,2988,acquaintance
394,639,acquaintance
2018,1641,friend
1138,2958,friend
425,1960,acquaintance
633,652,acquaintance
2282,1688,friend
2798,2950,acquaintance
96,506,acquaintance
2901,2545,acquaintance
2249,810,acquaintance
2793,2592,acquaintance
1853,857,friend
77,1480,acquaintance
2138,759,acquaintance
2971,2479,acquaintance
1733,1566,best friend
1970,666,acquaintance
1674,2217,friend
946,2624,acquaintance
2793,1797,friend
1381,220,acquaintance
2022,1207,friend
32,2977,best friend
2901,2909,acquaintance
1176,2602,acquaintance
1012,2971,friend
1634,2694,acquaintance
2217,1201,friend
696,1359,friend
1966,1418,acquaintance
1514,2903,acquaintance
1616,867,acquaintance
33,1606,friend
1359,2995,acquaintance
636,1230,best friend
1921,40,friend
1269,1149,friend
1326,1075,friend
2747,2556,acquaintance
1973,2105,friend
748,2495,acquaintance
1902,1315,best friend
413,1713,acquaintance
1622,2594,friend
477,2219,acquaintance
2884,116,acquaintance
2915,1511,friend
1841,839,best friend
2651,640,friend
1333,2193,acquaintance
351,2219,best friend
780,956,friend
642,2978,friend
76,2236,friend
1651,1122,acquaintance
2545,572,friend
761,1338,acquaintance
2874,584,acquaintance
650,949,friend
431,1463,friend
1045,2881,friend
449,303,acquaintance
1979,2596,friend
2313,1076,acquaintance
1080,2533,acquaintance
2078,665,acquaintance
1294,1531,acquaintance
171,507,acquaintance
1394,166,acquaintance
2853,2958,friend
38,2290,friend
258,2551,acquaintance
2438,1622,friend
1897,800,friend
96,2031,friend
2334,1864,friend
686,2768,acquaintance
1817,2806,friend
2264,2799,best friend
1041,1750,acquaintance
1162,639,acquaintance
2513,140,friend
1781,633,acquaintance
1973,2225,friend
697,38,acquaintance
1506,2954,acquaintance
1041,2116,friend
2694,1765,acquaintance
1209,1415,acquaintance
580,1291,acquaintance
2406,491,best friend
1861,583,friend
2165,2568,acquaintance
2781,2392,acquaintance
636,1602,best friend
2563,1667,acquaintance
2338,2355,friend
360,2902,acquaintance
2589,2482,acquaintance
1884,207,acquaintance
732,862,acquaintance
2311,1704,acquaintance
2165,636,acquaintance
800,1281,acquaintance
1711,288,acquaintance
40,2033,acquaintance
160,1907,acquaintance
1294,2778,acquaintance
921,2219,acquaintance
2186,1740,best friend
1545,2808,acquaintance
2570,696,best friend
1688,2001,acquaintance
793,1623,acquaintance
2694,1888,acquaintance
2139,2033,friend
554,1622,acquaintance
2390,2071,friend
289,1080,acquaintance
1657,7,acquaintance
1098,417,acquaintance
1653,2105,acquaintance
956,2690,friend
1634,2624,friend
245,2326,acquaintance
2958,2355,friend
753,228,friend
734,1991,friend
189,2133,acquaintance
2973,2285,friend
810,2793,friend
2602,1102,acquaintance
1969,404,friend
1459,1085,acquaintance
62,2699,friend
1094,851,friend
1665,1957,friend
2451,132,acquaintance
496,1875,acquaintance
1470,2571,acquaintance
510,2105,acquaintance
275,2397,friend
1799,2389,acquaintance
1502,2992,acquaintance
776,1181,acquaintance
207,2556,friend
65,795,best friend
1373,1335,friend
2938,2003,acquaintance
243,983,best friend
79,2860,acquaintance
1614,1315,acquaintance
2325,1109,friend
1609,323,acquaintance
2288,2431,acquaintance
2997,1480,acquaintance
983,1354,acquaintance
173,563,acquaintance
1172,1657,acquaintance
2550,2318,acquaintance
2318,1029,friend
886,384,friend
2288,173,friend
425,611,acquaintance
1234,677,acquaintance
1534,2621,acquaintance
2311,2313,best friend
2431,642,acquaintance
2375,1461,acquaintance
1155,748,acquaintance
2929,1297,acquaintance
2259,1853,friend
2116,981,friend
761,1902,acquaintance
1516,727,acquaintance
1165,1574,friend
26,2031,friend
2219,290,acquaintance
2588,375,acquaintance
1385,1786,acquaintance
2154,1799,acquaintance
1907,786,acquaintance
519,2477,friend
2696,2852,acquaintance
2373,504,acquaintance
1366,1109,acquaintance
2386,2608,acquaintance
1211,65,acquaintance
1214,2972,friend
1900,1667,friend
1281,776,acquaintance
2915,2325,friend
2909,138,friend
951,129,acquaintance
1977,2053,acquaintance
2219,868,acquaintance
1098,2958,acquaintance
2533,699,acquaintance
922,1429,acquaintance
814,2958,acquaintance
1497,1138,acquaintance
795,1939,friend
898,1590,acquaintance
2282,672,friend
2031,1516,acquaintance
873,2518,acquaintance
1634,985,acquaintance
